PHM_ALGORITHM_DEFINITIONS_SK,PHM_ALGORITHM_CATEGORIES_SK,ALGORITHM_NUMBER,ALGORITHM_NAME,ALGORITHM_COMMAND,ALGORITHM_DESCRIPTION,ALGORITHM_OWNER,SQL_CODE_COMMAND,SQL_DESCRIPTION,PROACTIVE_YN,REMAINING_USEFUL_LIFE_INT,REMAINING_USEFUL_LIFE_UNIT,KEEP_RESULTS_NUM_DAYS,ENABLED_YN,AREA_OF_TRACK,APP_AUDITS_CREATE_USER,APP_AUDITS_MODIFY_USER,PHM_PROD_FAMILY_SK,ALGORITHM_TYPE,ALGORITHM_MODE,NEW_REC,DELETE_FLAG,APP_AUDITS_CREATE_DATE,APP_AUDITS_MODIFY_DATE
1140,81,27,"AbbottLink Disconnect IA",,"AbbottLink Disconnect Algorithm for IA instruments. Generates PHN00066 if instrument is disconnected from AbbottLink for more than 72 hours","CHANDSN",,,,3,"3 days",14,"N",,"CHANDSN","CHANDSN",5001,,,"Y","N","5/3/2017 1:33:18.000000 PM","2/11/2018 11:31:19.000000 PM"
1141,82,28,"AbbottLink Disconnect CC",,"AbbottLink Disconnect Algorithm for CC instruments. Generates PHN00066 if instrument is disconnected from AbbottLink for more than 72 hours","CHANDSN",,,,3,"3 days",14,"N",,"CHANDSN","CHANDSN",5000,,,"Y","N","5/3/2017 1:37:40.000000 PM","2/12/2018 12:01:06.000000 AM"
1380,81,44,"APA IA Generic Algorithm",,"Generic template for APA IA algorithm group","KHANDMX5",,,,3,"3 days",14,"N",,"CHANDSN","KHANDMX5",5001,,,"Y","N","2/11/2018 10:36:57.000000 PM","10/5/2018 2:13:16.000000 PM"
1381,82,45,"APA CC Generic Algorithm",,"Generic template for APA CC algorithm group","CHANDSN",,,,3,"3 days",14,"N",,"CHANDSN","CHANDSN",5000,,,"Y","N","2/11/2018 11:42:50.000000 PM","6/30/2018 9:35:32.000000 PM"
1220,161,32,"CC Cuvette LLS Board",,"CC Cuvette LLS Board","CHANDSN",,,,7,"7 days",14,"N",,"CHANDSN","CHANDSN",5000,,,"Y","N","6/15/2017 11:23:13.000000 AM","1/14/2018 12:37:01.000000 PM"
1221,161,33,"CC Cuvette Wash Subassembly",,"CC Cuvette Wash Subassembly","CHANDSN",,,,7,"7 days",14,"N",,"CHANDSN","CHANDSN",5000,,,"Y","N","6/15/2017 11:27:46.000000 AM","1/14/2018 12:38:41.000000 PM"
1222,161,34,"CC Cuvette Status Check - Broken Cuvette",,"CC Cuvette Status Check - Broken Cuvette","CHANDSN",,,,7,"7 days",14,"N",,"CHANDSN","CHANDSN",5000,,,"Y","N","6/15/2017 11:31:59.000000 AM","1/14/2018 12:37:54.000000 PM"
20190,221,166,"Alinity IA Process Path Jams 5756",,"To detect a buildup of process path retries (AimCode: 5756) before the customer begins experiencing process path jams (AIM CODE: 5752 or 5757).","CHANDSN",,,,7,"7 days",14,"N",,"CHANDSN","CHANDSN",5020,,,"Y","N","6/29/2018 1:26:51.000000 PM","9/11/2018 2:01:21.000000 PM"
20191,221,167,"Alinity IA Pretreat Path Jams 5756",,"To detect a buildup of process path retries (AimCode: 5756) before the customer begins experiencing pretreatment path jams (AIM CODE: 5752 or 5757).","CHANDSN",,,,7,"7 days",14,"N",,"CHANDSN","CHANDSN",5020,,,"Y","N","6/29/2018 1:40:35.000000 PM","9/11/2018 2:01:56.000000 PM"
20192,221,168,"Alinity IA Process Path Jams 5758",,"To detect a buildup of process path retries (AimCode: 5758) before the customer begins experiencing process path jams (AIM CODE: 5752 or 5757).","CHANDSN",,,,7,"7 days",14,"N",,"CHANDSN","CHANDSN",5020,,,"Y","N","6/29/2018 1:53:39.000000 PM","9/11/2018 2:02:33.000000 PM"
20193,221,169,"Alinity IA Pretreat Path Jams 5758",,"Detect a buildup of process path retries (AimCode: 5758) before the customer begins experiencing pretreatment path jams (AIM CODE: 5752 or 5757).","CHANDSN",,,,7,"7 days",14,"N",,"CHANDSN","CHANDSN",5020,,,"Y","N","6/29/2018 2:03:28.000000 PM","9/11/2018 2:02:52.000000 PM"
20194,222,164,"Alinity APA IA Generic Algorithm",,"Generic algorithm(template) for Alinity APA IA algorithm group","CHANDSN",,,,7,"7 days",14,"N",,"CHANDSN","CHANDSN",5020,,,"Y","N","6/29/2018 2:27:18.000000 PM","6/30/2018 9:38:09.000000 PM"
1060,22,6,"APS Algorithm",,"APS Algorithm","CHANDSN",,,,5,"5 days",14,"N",,"JOYSX1","CHANDSN",5002,,,"Y","N","10/9/2016 9:57:46.000000 AM","1/13/2018 8:29:06.000000 PM"
1061,1,7,"PATTERNA",,"ALGORITHM FOR WAM PATTERN A","CHANDSN",,,,3,"3 days",14,"N",,"JOYSX1","CHANDSN",5001,,,"Y","N","10/9/2016 11:06:57.000000 AM","7/31/2019 4:28:22.000000 PM"
1062,1,8,"PATTERNB",,"PATTERN B ALGORITHM FOR WAM","CHANDSN",,,,3,"3 days",14,"N",,"JOYSX1","CHANDSN",5001,,,"Y","N","10/9/2016 11:16:36.000000 AM","7/31/2019 4:26:59.000000 PM"
1063,1,9,"PATTERNC",,"PATTERN C ALGORITHM FOR WAM","CHANDSN",,,,3,"3 days",14,"N",,"JOYSX1","CHANDSN",5001,,,"Y","N","10/9/2016 11:36:48.000000 AM","7/31/2019 4:24:47.000000 PM"
1064,23,10,"FEP",,"FEP ALGORITHM","CHANDSN",,,,3,"3 days",14,"N",,"JOYSX1","CHANDSN",5001,,,"Y","N","10/9/2016 11:52:54.000000 AM","1/13/2018 9:10:53.000000 PM"
1065,21,11,"DARK_COUNT",,"DARK_COUNT","CHANDSN",,,,3,"3 days",14,"N",,"JOYSX1","CHANDSN",5001,,,"Y","N","10/9/2016 12:03:22.000000 PM","2/15/2018 10:46:43.000000 AM"
20290,201,179,"Alinity IA Dark Count - R_Test",,"Alinity IA Dark Count - R algorithm for PROD testing","CHANDSN",,,,7,"7 days",14,"N",,"CHANDSN","CHANDSN",5020,,,"Y","N","10/5/2018 4:39:32.000000 PM","10/5/2018 4:42:07.000000 PM"
20550,342,224,"Alinity CC HC Waste",,"Alinity CC HC Waste - using R","CHANDSN",,,,7,"7 days",14,"N",,"NISSECX","CHANDSN",5021,,,"Y","N","7/1/2019 3:10:10.000000 PM","7/22/2019 11:50:44.000000 AM"
20551,343,225,"Alinity IA Daily Maintenance",,"Alinity IA Daily Maintenance - using R","NISSECX",,,,7,"7 days",14,"N",,"NISSECX","NISSECX",5020,,,"Y","N","7/1/2019 3:47:41.000000 PM","7/23/2019 5:07:09.000000 PM"
20142,205,154,"Alinity IA Washzone Aspiration - Generic",,"Generic reusable routine for Alinity IA Washzone Aspiration algorithms","CHANDSN",,,,7,"7 days",14,"N",,"CHANDSN","CHANDSN",5020,,,"Y","N","6/28/2018 4:09:40.000000 PM","6/28/2018 4:17:27.000000 PM"
20143,205,155,"Alinity IA Washzone1 P1 Aspiration",,"Monitors the Wash Zones for degrading performance","CHANDSN",,,,7,"7 days",14,"N",,"CHANDSN","CHANDSN",5020,,,"Y","N","6/28/2018 4:26:34.000000 PM","6/28/2018 4:37:44.000000 PM"
20144,205,156,"Alinity IA Washzone1 P2 Aspiration",,"Monitors the Wash Zones for degrading performance","CHANDSN",,,,7,"7 days",14,"N",,"CHANDSN","CHANDSN",5020,,,"Y","N","6/28/2018 4:41:36.000000 PM","6/28/2018 4:42:22.000000 PM"
20145,205,157,"Alinity IA Washzone1 P3 Aspiration",,"Monitors the Wash Zones for degrading performance","CHANDSN",,,,7,"7 days",14,"N",,"CHANDSN","CHANDSN",5020,,,"Y","N","6/28/2018 4:45:58.000000 PM","6/28/2018 4:46:23.000000 PM"
20146,205,158,"Alinity IA Washzone2 P1 Aspiration",,"Monitors the Wash Zones for degrading performance","CHANDSN",,,,7,"7 days",14,"N",,"CHANDSN","CHANDSN",5020,,,"Y","N","6/28/2018 4:50:03.000000 PM","6/28/2018 4:50:39.000000 PM"
20147,205,159,"Alinity IA Washzone2 P2 Aspiration",,"Monitors the Wash Zones for degrading performance","CHANDSN",,,,7,"7 days",14,"N",,"CHANDSN","CHANDSN",5020,,,"Y","N","6/28/2018 4:55:00.000000 PM","6/28/2018 4:55:28.000000 PM"
20148,205,160,"Alinity IA Washzone2 P3 Aspiration",,"Monitors the Wash Zones for degrading performance","CHANDSN",,,,7,"7 days",14,"N",,"CHANDSN","CHANDSN",5020,,,"Y","N","6/28/2018 5:00:43.000000 PM","6/28/2018 5:02:04.000000 PM"
20149,202,161,"Alinity IA Pipettor Syringe Backlash - Generic",,"Reusable Routine for Alinity IA Pipettor Syringe Backlash algorithms.","CHANDSN",,,,7,"7 days",14,"N",,"CHANDSN","CHANDSN",5020,,,"Y","N","6/28/2018 5:16:03.000000 PM","6/28/2018 5:26:44.000000 PM"
20150,202,162,"Alinity IA Pipettor Sample Syringe Backlash",,"To detect degrading syringe performance before the customer begins to experience an increase in pipetting issues.","CHANDSN",,,,7,"7 days",14,"N",,"CHANDSN","CHANDSN",5020,,,"Y","N","6/28/2018 5:31:19.000000 PM","6/28/2018 5:31:37.000000 PM"
20151,202,163,"Alinity IA Pipettor R1 Syringe Backlash",,"To detect degrading syringe performance before the customer begins to experience an increase in pipetting issues.","CHANDSN",,,,7,"7 days",14,"N",,"CHANDSN","CHANDSN",5020,,,"Y","N","6/28/2018 5:35:32.000000 PM","6/28/2018 5:36:21.000000 PM"
20152,202,164,"Alinity IA Pipettor R2 Syringe Backlash",,"To detect degrading syringe performance before the customer begins to experience an increase in pipetting issues.","CHANDSN",,,,7,"7 days",14,"N",,"CHANDSN","CHANDSN",5020,,,"Y","N","6/28/2018 5:43:54.000000 PM","6/28/2018 5:44:35.000000 PM"
20014,181,52,"APA_3100_Inner Reagent",,"APA_3100_Inner Reagent","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 1:59:58.000000 PM","7/23/2019 6:39:38.000000 PM"
20015,181,53,"APA_3100_Middle Reagent",,"APA_3100_Middle Reagent","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 1:59:59.000000 PM","7/23/2019 6:40:11.000000 PM"
20016,181,54,"APA_3100_Outer Reagent",,"APA_3100_Outer Reagent","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:00:01.000000 PM","7/23/2019 6:40:52.000000 PM"
20017,181,55,"APA_3100_RV Carousel_RV1",,"APA_3100_RV Carousel_RV1","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:00:02.000000 PM","7/23/2019 6:42:33.000000 PM"
20018,181,56,"APA_3100_RV Carousel_RV2",,"APA_3100_RV Carousel_RV2","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:00:04.000000 PM","7/23/2019 6:43:06.000000 PM"
20022,181,60,"APA_3350_Inner Reagent",,"APA_3350_Inner Reagent","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:00:15.000000 PM","2/25/2019 8:27:00.000000 PM"
20026,181,64,"APA_3350_Middle Reagent",,"APA_3350_Middle Reagent","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:00:22.000000 PM","2/25/2019 8:29:04.000000 PM"
20027,181,65,"APA_3350_Outer Reagent",,"APA_3350_Outer Reagent","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:00:25.000000 PM","2/25/2019 8:29:40.000000 PM"
20032,181,70,"APA_3350_R1 Pipettor at RV2",,"APA_3350_R1 Pipettor at RV2","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:00:33.000000 PM","2/25/2019 8:33:21.000000 PM"
20028,181,66,"APA_3350_RV Carousel_RV1",,"APA_3350_RV Carousel_RV1","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:00:26.000000 PM","2/25/2019 8:34:56.000000 PM"
20029,181,67,"APA_3350_RV Carousel_RV2",,"APA_3350_RV Carousel_RV2","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:00:28.000000 PM","2/25/2019 8:36:27.000000 PM"
20030,181,68,"APA_3350__Pipettor at SH Sample",,"APA_3350_RV Carousel Pipettor at SH Sample","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:00:30.000000 PM","8/23/2019 3:27:51.000000 PM"
20025,181,63,"APA_3350_STAT Pipettor at Sample Carrier",,"APA_3350_STAT Pipettor at Sample Carrier","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:00:21.000000 PM","2/25/2019 8:44:25.000000 PM"
20024,181,62,"APA_3350_Sample Pipettor at Sample Carrier",,"APA_3350_Sample Pipettor at Sample Carrier","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:00:19.000000 PM","2/25/2019 8:46:23.000000 PM"
20035,181,73,"APA_3700_ Wash Zone 1 wash aspiration error for probes (2)",,"APA_3700_ Wash Zone 1 wash aspiration error for probes (2)","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:00:38.000000 PM","2/25/2019 8:49:25.000000 PM"
20034,181,72,"APA_3700_Wash Zone 1 wash aspiration error for probes (1)",,"APA_3700_Wash Zone 1 wash aspiration error for probes (1)","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:00:36.000000 PM","2/25/2019 8:54:16.000000 PM"
20036,181,74,"APA_3700_Wash Zone 1 wash aspiration error for probes (3)",,"APA_3700_Wash Zone 1 wash aspiration error for probes (3)","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:00:40.000000 PM","2/25/2019 8:55:59.000000 PM"
20037,181,75,"APA_3700_Wash Zone 2 wash aspiration error for probes (1)",,"APA_3700_Wash Zone 2 wash aspiration error for probes (1)","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:00:42.000000 PM","2/25/2019 8:57:11.000000 PM"
20038,181,76,"APA_3700_Wash Zone 2 wash aspiration error for probes (2)",,"APA_3700_Wash Zone 2 wash aspiration error for probes (2)","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:00:43.000000 PM","2/25/2019 8:58:03.000000 PM"
20039,181,77,"APA_3700_Wash Zone 2 wash aspiration error for probes (3)",,"APA_3700_Wash Zone 2 wash aspiration error for probes (3)","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:00:46.000000 PM","2/25/2019 8:59:02.000000 PM"
20040,181,78,"APA_3700_Wash Zone aspiration error for probe 2",,"APA_3700_Wash Zone aspiration error for probe 2","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:00:50.000000 PM","7/24/2019 5:37:50.000000 PM"
20046,181,84,"APA_5101_Vortexer 3",,"APA_5101_Vortexer 3","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:01:09.000000 PM","2/25/2019 9:09:51.000000 PM"
20047,181,85,"APA_5104_STAT Vortexer",,"APA_5104_STAT Vortexer","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:01:13.000000 PM","2/25/2019 9:12:03.000000 PM"
20051,181,89,"APA_5105_STAT Vortexer",,"APA_5105_STAT Vortexer","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:01:24.000000 PM","2/25/2019 9:14:24.000000 PM"
20054,181,92,"APA_5105_Vortexer 3",,"APA_5105_Vortexer 3","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:01:30.000000 PM","2/25/2019 9:15:27.000000 PM"
20077,181,115,"APA_5404_WZ Inlet Diverter",,"APA_5404_WZ Inlet Diverter","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:02:10.000000 PM","2/25/2019 9:23:03.000000 PM"
20078,181,116,"APA_5404_WZ Outlet Diverter",,"APA_5404_WZ Outlet Diverter","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:02:12.000000 PM","2/25/2019 9:25:26.000000 PM"
20085,181,123,"APA_5900_Inner Reagent Carousel Motor",,"APA_5900_Inner Reagent Carousel Motor","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:02:23.000000 PM","2/25/2019 9:34:16.000000 PM"
20086,181,124,"APA_5900_Outer Reagent Carousel Motor",,"APA_5900_Outer Reagent Carousel Motor","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:02:25.000000 PM","2/25/2019 9:37:10.000000 PM"
20087,181,125,"APA_5900_Pipettor Syringe Motor",,"APA_5900_Pipettor Syringe Motor","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:02:26.000000 PM","2/25/2019 9:41:50.000000 PM"
20089,181,127,"APA_5900_R1 Pipettor Syringe Motor",,"APA_5900_R1 Pipettor Syringe Motor","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:02:30.000000 PM","2/25/2019 9:42:43.000000 PM"
20090,181,128,"APA_5900_R2 Pipettor Syringe Motor",,"APA_5900_R2 Pipettor Syringe Motor","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:02:31.000000 PM","2/25/2019 9:43:45.000000 PM"
20091,181,129,"APA_5900_Reagent Carousel Motor",,"APA_5900_Reagent Carousel Motor","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:02:33.000000 PM","2/25/2019 9:45:14.000000 PM"
20093,181,131,"APA_5900_Sample Pipettor Syringe Motor",,"APA_5900_Sample Pipettor Syringe Motor","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:02:36.000000 PM","2/25/2019 9:48:16.000000 PM"
20094,181,132,"APA_5900_Sample Pipettor Z",,"APA_5900_Sample Pipettor Z","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:02:37.000000 PM","2/25/2019 9:49:10.000000 PM"
20430,262,215,"APA_0123 3 Consecutive Short Samples",,"APA_0123 3 Consecutive Short Samples","LIJX8",,,,3,"3 days",14,"N",,"LIJX8","LIJX8",5080,,,"Y","N","4/29/2019 5:58:23.000000 PM","4/29/2019 6:01:29.000000 PM"
20431,262,216,"APA_2077 Flow Script Timeout",,"APA_2077 Flow Script Timeout","LIJX8",,,,3,"3 days",14,"N",,"LIJX8","LIJX8",5080,,,"Y","N","4/29/2019 6:04:07.000000 PM","4/29/2019 6:05:44.000000 PM"
20432,263,217,"APA_0093  Short Sample",,"APA_0093  Short Sample","LIJX8",,,,3,"3 days",14,"N",,"LIJX8","LIJX8",5081,,,"Y","N","4/29/2019 6:11:05.000000 PM","4/29/2019 6:12:16.000000 PM"
20610,181,228,"APA_9077_30",,"APA_9077_30","LIJX8",,,,3,"3 days",14,"N",,"LIJX8","LIJX8",5001,,,"Y","N","7/30/2019 5:05:07.000000 PM","7/30/2019 5:12:27.000000 PM"
20006,181,44,"APA_3000_R1 Pipettor at Reagent bottle positions",,"APA_3000_R1 Pipettor at Reagent bottle positions","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 1:59:45.000000 PM","7/23/2019 6:36:16.000000 PM"
20008,181,46,"APA_3000_R2 Pipettor at Reagent bottle positions",,"APA_3000_R2 Pipettor at Reagent bottle positions","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 1:59:48.000000 PM","7/23/2019 6:37:00.000000 PM"
20019,181,57,"APA_3100_R1 Pipettor at Reagent Carousel",,"APA_3100_R1 Pipettor at Reagent Carousel","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:00:07.000000 PM","7/23/2019 6:43:46.000000 PM"
